EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents,binary_features,cluster,PC1,PC2,PC3
ep-101145,CCC(C)(C)C(C)OC,0.861103011343817,8.195523428,-7.642316073,2.7026,"[1, 1, 0, 0, 0]",1,-0.6674841421438030,0.6590726654502410,-0.8852592955277
ep-101151,CCOC(C)C(C)(C)C,0.8898930615883130,8.288586348,-7.562314616,3.765,"[1, 1, 0, 0, 0]",1,-0.725819600479366,0.7008720547755560,-0.8066802779339770
ep-101232,CC(C)OCC(C)(C)C,0.9692581464074070,8.426548045,-7.655105422,2.4192,"[1, 1, 0, 0, 0]",1,-0.5672607775793350,0.6382039132766940,-0.5982468291663790
ep-101237,CCCOCC(C)(C)C,0.9877737483340800,8.5558021,-7.677690867,2.6353,"[1, 0, 0, 0, 0]",1,-0.672823919493691,-0.7578388920555400,-0.67829209548019
ep-101261,CCC(C)C(C)(C)OC,0.8494919498796410,7.90272898,-7.52394657,3.0974,"[1, 1, 0, 0, 0]",1,-0.8465861900046090,0.6879949407891100,-0.8281993537667990
ep-101263,COC(C)C(C)C(C)C,0.967425033783646,8.15769961,-7.634152659,2.6734,"[1, 1, 0, 0, 0]",1,-0.5767656105553970,0.6283425788625640,-0.5775625739074300
ep-101268,CCOC(C)C(C)CC,0.9338382003892870,8.365594553,-7.618642172,3.0692,"[1, 1, 0, 0, 0]",1,-0.6268155623827770,0.6649869909498830,-0.6971156376412200
ep-101274,CCCC(C)C(C)OC,0.969092202632386,8.248857733,-7.670888022,2.217,"[1, 1, 0, 0, 0]",1,-0.5411019997423210,0.6158665064974830,-0.5849907729620410
ep-101420,CCOC(C)(C)C(C)C,0.9128522036910540,8.187904242,-7.553606974,2.4603,"[1, 1, 0, 0, 0]",1,-0.7831505545886060,0.673640674113541,-0.6662882695532270
ep-101422,CC(C)OC(C)C(C)C,0.8604639383953420,8.369404147,-7.543810877,2.8727,"[1, 1, 0, 0, 0]",1,-0.8393851929248720,0.7116562425042800,-0.8409432298551020
ep-101426,CCCOC(C)C(C)C,0.9171120855288050,8.345458132,-7.568845347,3.5306,"[1, 1, 0, 0, 0]",1,-0.7035769958702370,0.6922987374391360,-0.7289831032400410
ep-101473,COC(C)OCC(C)C,0.9788594457818710,8.203958956,-7.947083529,7.6487,"[1, 1, 0, 0, 0]",1,0.24275956075781800,0.573316214434986,-1.0031649016258000
ep-115822,CCCOC(C)(C)CC,0.8800819565270470,8.06599726,-7.525579253,5.9046,"[1, 1, 0, 0, 0]",1,-0.6714216774172660,0.7258343127947030,-0.8899906822498400
ep-115858,COC(C)(C)CC(C)C,0.8368604156397190,7.934022067,-7.555239657,3.983,"[1, 1, 0, 0, 0]",1,-0.7587070812276270,0.6932808480741730,-0.929846499781335
ep-115863,CCCCC(C)(C)OC,0.913665799449502,7.949532553,-7.573743395,3.9368,"[1, 1, 0, 0, 0]",1,-0.6545952272933960,0.6651054577002550,-0.727172176153049
ep-11589,CCOC(C)(C)CC,0.9028230081527260,8.119875792,-7.551974291,3.1324,"[1, 1, 0, 0, 0]",1,-0.7558088424005060,0.6799410656907470,-0.718994309585831
ep-11595,CCCOC(C)(C)C,0.8888860602359550,8.094841322,-7.559865592,3.56,"[1, 1, 0, 0, 0]",1,-0.7313582524081530,0.6842391285285840,-0.7814859903974130
