EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents,binary_features,cluster,PC1,PC2,PC3
ep-470426,COC(C(=O)F)C(F)F,1.1244990184926400,-0.63729052,-8.556890555,3.9104,"[1, 1, 0, 1, 0]",2,3.909863242868340,-0.2191505691998600,-0.201376425624289
ep-471896,CCOC(=O)C(F)(F)F,1.257584147467880,-0.741510105,-8.217564646,3.1068,"[1, 1, 0, 1, 0]",2,3.414572398051610,-0.14930664903764900,0.4554638511541530
ep-487249,O=C(OCCF)C(F)F,1.0293144738416200,-0.470212646,-8.054296366,12.2561,"[1, 1, 0, 1, 0]",2,3.3857451440469500,0.10978326190843000,-0.5225823070372010
ep-487258,O=C(CF)OCC(F)F,1.0055634071019400,-0.325992332,-7.895109793,9.4766,"[1, 1, 0, 1, 0]",2,2.928542476814740,0.15313983256064400,-0.3589420976755560
ep-488730,O=C1OCC(F)C1(F)F,1.278769148119510,-0.665318241,-8.147359286,2.276,"[1, 1, 0, 1, 1]",2,3.1576107596377300,0.1518739009826310,1.8258916713971000
ep-491076,O=C1OC(CF)OC1F,1.207787444815330,-0.483274109,-8.079875063,4.5141,"[1, 1, 1, 1, 1]",2,5.6576995723085600,0.5314551773141840,1.5814264905334600
ep-497626,O=C1OCOCC1(F)F,1.14330172521122,-0.507220123,-7.990349623,5.7362,"[1, 1, 0, 1, 1]",2,2.93022766128268,0.3036696139364380,1.3805870846981700
ep-497683,O=C1CC(F)(F)C(F)O1,1.2559126521581900,-0.449804111,-8.10327685,3.3832,"[1, 1, 1, 1, 1]",2,5.682670337950250,0.49784021193758400,1.749986974878170
ep-497688,O=C1OCC(F)(F)C1F,1.231063343815560,-0.539057438,-8.0194658,2.429,"[1, 1, 0, 1, 1]",2,2.8902802426985300,0.22485416181757900,1.7640715441512800
ep-497716,O=C1COC(C(F)F)O1,1.1734546741412600,-0.339053795,-7.920416377,4.7995,"[1, 1, 0, 1, 1]",2,2.7787240954838100,0.3228712882857720,1.543594872028890
ep-505101,O=C1OC(F)C(F)(F)O1,1.296441518783990,4.989206523,-8.415663493,11.6719,"[1, 1, 1, 1, 1]",2,6.40925181271336,0.9017652324918460,0.7869170402714890
ep-716638,FC(F)(F)COCC(F)(F)F,0.61284588179709,5.497787215,-8.915808657,58.0184,"[1, 0, 0, 1, 0]",2,6.439868553358260,-0.4552060859246450,-5.053211747621230
ep-937786,O=C1OCC(C(F)(F)F)O1,1.075425633216200,-0.560282314,-7.745175089,62.8461,"[1, 1, 0, 1, 1]",2,5.520937360674180,1.107287343235910,-1.321787208421300
ep-937787,O=C1OCC(F)(C(F)F)O1,1.1445224304609500,-0.696883442,-7.97293434,57.0445,"[1, 1, 1, 1, 1]",2,8.254589785310690,1.2138151355625300,-0.975536697884886
ep-937788,O=C1OC(F)C(C(F)F)O1,1.1477815019057300,-0.746680267,-8.009941817,88.2053,"[1, 1, 1, 1, 1]",2,10.00497672182890,1.5757178655415700,-2.45525884217357
ep-937789,O=C1OC(F)C(F)(CF)O1,1.1957645546309000,-0.645726047,-8.131032458,17.448,"[1, 1, 1, 1, 1]",2,6.441039346438450,0.6609908389938550,0.9169177117913010
ep-937791,CC1(F)OC(=O)OC1(F)F,1.2616951579831200,-0.201364212,-8.323144801,14.0296,"[1, 1, 1, 1, 1]",2,6.6298666602087000,0.564223814435978,1.0894269203510100
ep-937794,O=C1OC(F)C(F)(C(F)F)O1,1.291884586512060,0.637834747,-8.376751219,9.581,"[1, 1, 1, 1, 1]",2,6.466002297333670,0.5477526323744130,1.2736567355976900
ep-937796,O=C1OC(F)(F)C(F)(CF)O1,1.2899021553315200,0.764367664,-8.443963328,14.8361,"[1, 1, 1, 1, 1]",2,6.85694135778113,0.5975495831307230,0.9627003656484340
ep-937800,O=C1OC(F)(F)C(F)(C(F)(F)F)O1,1.5337772809431900,4.428107867,-8.738118346,2.5525,"[1, 1, 1, 1, 1]",2,6.74068251628177,0.5584264594862830,1.7022201808322100
ep-938709,COC(=O)OCC(F)(F)F,1.2978144552987200,-0.590486946,-7.838238009,3.5886,"[1, 1, 0, 1, 0]",2,2.8139419220369200,-0.0021652828266042100,0.7982100468816620
